bairro,tipo_imovel,area_util,banheiros,suites,quartos,vagas_garagem,preco_venda
Moema,Flat,30.0,1.0,1.0,1.0,1.0,166600
Vila Carrão,Apartamento,103.0,3.0,1.0,4.0,2.0,489789
Cerqueira César,Flat,28.0,1.0,1.0,1.0,1.0,244999
Vila Mascote,Apartamento,202.0,6.0,4.0,4.0,4.0,1372000
Campo Belo,Apartamento,96.0,3.0,1.0,2.0,1.0,560000
Ipiranga,Apartamento,53.0,1.0,1.0,2.0,1.0,248242
Vila Romana,Apartamento,101.0,4.0,2.0,3.0,2.0,735000
Aclimação,Apartamento,141.0,4.0,3.0,3.0,4.0,1113000
Brás,Apartamento,63.0,1.0,0.0,2.0,0.0,262500
Paraisópolis,Apartamento,52.0,1.0,0.0,2.0,1.0,148400
Lapa,Apartamento,133.0,3.0,1.0,3.0,2.0,896000
Moema,Cobertura,240.0,5.0,3.0,3.0,3.0,1470000
Cerqueira César,Apartamento,100.0,2.0,1.0,3.0,1.0,595000
Jardim Umarizal,Apartamento,54.0,1.0,0.0,2.0,1.0,125999
Ipiranga,Apartamento,213.0,4.0,3.0,3.0,3.0,1680000
Tatuapé,Flat,35.0,1.0,1.0,1.0,1.0,137200
Jardim Marajoara,Apartamento,77.0,2.0,1.0,3.0,2.0,336000
Socorro,Apartamento,58.0,1.0,0.0,2.0,1.0,237999
Jardim Marajoara,Apartamento,134.0,4.0,3.0,3.0,2.0,770000
Parque Mandaqui,Apartamento,82.0,3.0,1.0,3.0,3.0,448000
Jardim Taquaral,Apartamento,58.0,1.0,0.0,2.0,1.0,244999
Vila Vermelha,Apartamento,93.0,1.0,1.0,3.0,2.0,468999
Jardim América,Casa,486.0,1.0,3.0,3.0,4.0,9100000
Parque Reboucas,Apartamento,66.0,2.0,1.0,3.0,1.0,233099
Móoca,Apartamento,106.0,2.0,0.0,2.0,1.0,300300
Vila Carmosina,Apartamento,50.0,1.0,0.0,2.0,1.0,154000
Vila Andrade,Apartamento,89.0,2.0,1.0,3.0,2.0,244299
Vila Nova Parada,Condomínio,84.0,2.0,0.0,2.0,2.0,227500
Vila Dom Pedro I,Cobertura,252.0,5.0,4.0,4.0,4.0,1673000
