bairro,tipo_imovel,area_util,banheiros,suites,quartos,vagas_garagem,preco_venda
Jardim Paulistano,Apartamento,100.0,2.0,1.0,1.0,1.0,840000
Vila Nova Alba,Apartamento,64.0,1.0,1.0,2.0,1.0,244999
Jardim Paulista,Apartamento,190.0,5.0,3.0,3.0,3.0,3500000
Paraíso,Apartamento,164.0,5.0,2.0,4.0,3.0,1854999
São Paulo,Cobertura,386.0,5.0,4.0,4.0,8.0,4900000
Vila Butantã,Apartamento,65.0,2.0,1.0,2.0,1.0,322000
Jardim Paulista,Apartamento,300.0,5.0,2.0,4.0,2.0,1715000
Vila Nova Alba,Apartamento,70.0,2.0,1.0,3.0,1.0,237999
Jardim Paulista,Flat,105.0,2.0,1.0,3.0,1.0,1014999
Paraíso,Apartamento,116.0,2.0,0.0,2.0,0.0,369600
Jardim Paulista,Apartamento,200.0,4.0,3.0,3.0,3.0,2100000
Paraíso,Apartamento,113.0,3.0,1.0,1.0,2.0,945699
Jardim Paulista,Apartamento,107.0,3.0,1.0,2.0,1.0,654500
Vila Prudente,Casa de dois andares,200.0,4.0,1.0,3.0,2.0,559300
Parque dos Principes,Casa,582.0,7.0,4.0,4.0,10.0,1680000
Jardim Paulista,Apartamento,540.0,6.0,4.0,4.0,5.0,5950000
Parque dos Principes,Apartamento,122.0,2.0,1.0,3.0,2.0,671300
Chácara Belenzinho,Casa de dois andares,85.0,3.0,2.0,2.0,2.0,318500
Jardim Rizzo,Casa de dois andares,90.0,2.0,0.0,2.0,1.0,496999
Vila Indiana,Apartamento,90.0,2.0,0.0,3.0,2.0,406000
Vila Antonieta,Casa de dois andares,105.0,1.0,0.0,2.0,1.0,185500
Liberdade,Apartamento,170.0,5.0,3.0,3.0,3.0,903000
Jardim Paulista,Flat,42.0,1.0,0.0,1.0,1.0,258999
Jardim Paulista,Apartamento,206.0,5.0,3.0,3.0,4.0,3773699
Jardim Paulista,Apartamento,113.0,4.0,2.0,2.0,3.0,1330000
Paraíso,Apartamento,175.0,3.0,1.0,3.0,1.0,728000
Cerqueira César,Apartamento,76.0,2.0,0.0,2.0,1.0,574000
Jardim Paulista,Apartamento,182.0,4.0,1.0,3.0,3.0,1330000
Vila Aricanduva,Apartamento,48.0,1.0,0.0,2.0,1.0,157500
Aclimação,Apartamento,45.0,1.0,0.0,1.0,1.0,371000
Vila Antonieta,Condomínio,63.0,2.0,1.0,3.0,2.0,220500
Vila Mariana,Apartamento,170.0,2.0,1.0,3.0,1.0,833000
Rio Pequeno,Apartamento,76.0,2.0,0.0,3.0,1.0,210000
Chácara Mafalda,Condomínio,80.0,3.0,1.0,3.0,2.0,350000
Jardim Santa Terezinha (Zona Leste),Casa de dois andares,54.0,2.0,2.0,2.0,2.0,237999
Jardim Europa,Casa de dois andares,725.0,0.0,4.0,4.0,5.0,15399999
Butantã,Apartamento,33.0,1.0,1.0,1.0,1.0,224000
Butantã,Apartamento,67.0,1.0,1.0,2.0,1.0,468999
Jardim Paulista,Apartamento,163.0,3.0,1.0,3.0,1.0,1113000
Jardins,Flat,47.0,1.0,1.0,2.0,1.0,482999
Jardim Paulista,Flat,75.0,1.0,0.0,2.0,2.0,630000
Jardim Rizzo,Casa de dois andares,140.0,3.0,1.0,3.0,2.0,416500
Jardim Paulista,Flat,80.0,2.0,2.0,2.0,2.0,519399
Jardim Paulista,Apartamento,48.0,2.0,1.0,1.0,1.0,630000
Jardim Piqueroby,Apartamento,85.0,2.0,1.0,3.0,1.0,475999
Jardins,Flat,39.0,1.0,1.0,1.0,1.0,262500
Jardim Paulista,Flat,28.0,1.0,1.0,1.0,1.0,196000
Jardim Santa Terezinha (Zona Leste),Apartamento,32.0,1.0,0.0,1.0,1.0,162400
Jardim Vila Formosa,Casa de dois andares,124.0,1.0,0.0,3.0,2.0,385000
Jardim Paulista,Flat,32.0,1.0,0.0,1.0,1.0,189000
Parque dos Príncipes,Casa,400.0,3.0,3.0,4.0,4.0,1400000
Jardim Paulista,Cobertura,160.0,3.0,1.0,1.0,2.0,1183000
Vila Indiana,Apartamento,51.0,1.0,0.0,2.0,1.0,287000
Chácara Mafalda,Casa de dois andares,115.0,3.0,1.0,3.0,2.0,374500
Jardim Paulista,Apartamento,45.0,1.0,0.0,1.0,1.0,393400
Jardim Paulista,Apartamento,100.0,3.0,1.0,3.0,1.0,658000
Vila Prudente,Casa de dois andares,230.0,2.0,2.0,3.0,6.0,903000
Jardim Paulista,Apartamento,110.0,2.0,0.0,2.0,0.0,770000
Vila Monumento,Casa de dois andares,160.0,2.0,0.0,2.0,2.0,588000
Vila Oratório,Casa de dois andares,150.0,3.0,2.0,2.0,2.0,343000
Aclimação,Apartamento,98.0,2.0,0.0,3.0,1.0,525000
Jardim Santa Terezinha (Zona Leste),Apartamento,45.0,0.0,0.0,2.0,1.0,112000
Aclimação,Apartamento,94.0,2.0,1.0,3.0,2.0,721000
Paraíso,Flat,63.0,2.0,0.0,1.0,2.0,451500
Vila Formosa,Casa,141.0,2.0,0.0,2.0,1.0,451500
Paraíso,Apartamento,128.0,2.0,1.0,3.0,1.0,840000
Aclimação,Apartamento,110.0,1.0,1.0,2.0,2.0,804300
Cambuci,Apartamento,176.0,1.0,3.0,3.0,2.0,1120000
Aclimação,Cobertura,380.0,6.0,3.0,3.0,3.0,1330000
Aclimação,Apartamento,198.0,4.0,3.0,4.0,3.0,1260000
Liberdade,Apartamento,43.0,1.0,1.0,2.0,1.0,333900
Paraíso,Flat,30.0,1.0,0.0,1.0,1.0,227500
Aclimação,Apartamento,46.0,1.0,0.0,1.0,0.0,287000
Aclimação,Apartamento,234.0,3.0,3.0,3.0,4.0,1750000
Paraíso,Apartamento,145.0,4.0,3.0,3.0,3.0,1610000
Jardim Nossa Senhora do Carmo,Casa de dois andares,188.0,3.0,1.0,3.0,3.0,332500
Paraíso,Apartamento,172.0,3.0,1.0,3.0,2.0,1379000
Vila Formosa,Apartamento,125.0,2.0,0.0,3.0,2.0,675500
Parque da Mooca,Casa de dois andares,200.0,4.0,3.0,3.0,4.0,1050000
Aclimação,Apartamento,340.0,7.0,3.0,4.0,6.0,4200000
Paraíso,Apartamento,193.0,0.0,4.0,4.0,4.0,2240000
Paraíso,Apartamento,210.0,5.0,2.0,4.0,4.0,2029999
Paraíso,Apartamento,210.0,4.0,2.0,4.0,4.0,2029999
Parque da Mooca,Apartamento,280.0,5.0,3.0,3.0,5.0,1400000
Vila Monumento,Apartamento,63.0,2.0,1.0,2.0,1.0,338730
Chácara Mafalda,Condomínio,92.0,3.0,1.0,3.0,2.0,406000
Paraíso,Apartamento,210.0,4.0,2.0,4.0,4.0,2029999
Parque da Mooca,Apartamento,280.0,5.0,3.0,3.0,5.0,1491000
Pinheiros,Casa de dois andares,200.0,1.0,1.0,3.0,2.0,896000
Vila Polopoli,Apartamento,56.0,1.0,0.0,2.0,1.0,251999
Rio Pequeno,Apartamento,52.0,1.0,0.0,2.0,1.0,224000
Pinheiros,Casa,300.0,4.0,1.0,9.0,5.0,1246560
Butantã,Apartamento,101.0,2.0,1.0,3.0,2.0,447300
Pinheiros,Flat,18.0,1.0,1.0,1.0,1.0,224000
Jardim Paulista,Apartamento,82.0,2.0,1.0,2.0,1.0,595000
Jardim America,Apartamento,280.0,5.0,4.0,4.0,3.0,3423000
Jardim Paulista,Apartamento,252.0,4.0,1.0,3.0,2.0,1854999
Jardim Vila Formosa,Casa de dois andares,148.0,3.0,1.0,3.0,2.0,468999
Jardim Piqueroby,Casa de dois andares,160.0,3.0,1.0,3.0,3.0,413000
Jardim Paulista,Apartamento,400.0,4.0,4.0,4.0,5.0,4760000
Jardim Paulista,Apartamento,167.0,4.0,1.0,3.0,1.0,1393000
Jardim Paulista,Flat,33.0,1.0,1.0,1.0,1.0,196000
Jardim Paulista,Flat,33.0,1.0,1.0,1.0,1.0,175000
Jardim Paulista,Apartamento,130.0,2.0,1.0,2.0,1.0,770000
Jardim Paulista,Apartamento,226.0,5.0,1.0,3.0,2.0,1358000
Jardim Paulista,Cobertura,520.0,5.0,2.0,4.0,4.0,4059999
Vila Antonieta,Casa de dois andares,60.0,1.0,2.0,2.0,1.0,175000
Jardim Paulista,Apartamento,163.0,3.0,1.0,3.0,2.0,1505000
Chácara Belenzinho,Casa de dois andares,170.0,2.0,1.0,3.0,4.0,475999
Alto da Mooca,Casa,220.0,3.0,2.0,3.0,2.0,665000
Jardim Paulista,Apartamento,98.0,2.0,0.0,3.0,0.0,756000
Mooca,Apartamento,175.0,1.0,1.0,3.0,4.0,742000
Alto da Mooca,Casa de dois andares,200.0,4.0,1.0,3.0,2.0,459899
Vila Canero,Apartamento,133.0,2.0,1.0,3.0,2.0,598500
Jardim Paulista,Apartamento,123.0,4.0,1.0,3.0,1.0,727300
Alto da Mooca,Casa de dois andares,350.0,3.0,1.0,3.0,5.0,693000
Jardim Paulistano,Casa de dois andares,200.0,3.0,0.0,4.0,4.0,1785000
Jardim Paulista,Apartamento,255.0,5.0,3.0,4.0,3.0,2730000
Jardim Paulista,Apartamento,107.0,3.0,2.0,2.0,1.0,840000
Vila Monumento,Casa,330.0,4.0,2.0,3.0,5.0,944999
Jardim Paulista,Apartamento,126.0,3.0,1.0,3.0,1.0,819000
Jardim Paulista,Apartamento,200.0,4.0,1.0,3.0,1.0,1223600
Tatuapé,Apartamento,199.0,4.0,1.0,3.0,2.0,1400000
Jardim Paulista,Apartamento,134.0,4.0,1.0,3.0,1.0,735000
Vila Antonieta,Apartamento,61.0,0.0,0.0,2.0,1.0,210000
Jardim Paulista,Apartamento,310.0,4.0,4.0,4.0,3.0,2996000
Jardim Esmeralda,Apartamento,55.0,1.0,0.0,2.0,1.0,206500
Mooca,Apartamento,180.0,0.0,3.0,3.0,3.0,667800
Jardim Nossa Senhora do Carmo,Casa de dois andares,300.0,0.0,3.0,3.0,6.0,560000
Cambuci,Apartamento,128.0,2.0,0.0,2.0,1.0,378000
Jardim Paulista,Casa,750.0,7.0,4.0,4.0,7.0,11200000
Vila Monumento,Apartamento,82.0,1.0,0.0,2.0,1.0,237299
Jardim Paulista,Apartamento,170.0,2.0,1.0,4.0,1.0,2085999
Jardim Paulista,Apartamento,99.0,2.0,1.0,3.0,2.0,969499
Liberdade,Apartamento,57.0,1.0,1.0,1.0,1.0,301000
Jardim Paulista,Apartamento,155.0,4.0,3.0,3.0,2.0,1512000
Cambuci,Casa de dois andares,150.0,1.0,0.0,2.0,0.0,385000
Jardim Paulista,Apartamento,105.0,3.0,1.0,3.0,1.0,798000
Jardim América,Casa,140.0,5.0,2.0,4.0,2.0,1190000
Cerqueira César,Cobertura,480.0,4.0,3.0,3.0,2.0,3849999
Jardim Paulista,Apartamento,402.0,3.0,2.0,4.0,3.0,3500000
Aclimação,Apartamento,41.0,1.0,0.0,1.0,2.0,560000
Pinheiros,Apartamento,77.0,2.0,0.0,1.0,2.0,710725
Pinheiros,Apartamento,87.0,2.0,1.0,2.0,2.0,923999
Pinheiros,Apartamento,70.0,2.0,0.0,2.0,0.0,840000
Aclimação,Apartamento,67.0,2.0,1.0,3.0,2.0,434000
Aclimação,Apartamento,180.0,4.0,1.0,4.0,1.0,979999
Cambuci,Apartamento,40.0,1.0,0.0,1.0,0.0,208600
Aclimação,Apartamento,180.0,3.0,0.0,4.0,1.0,840000
Jardim Paulista,Cobertura,346.0,5.0,4.0,4.0,6.0,5600000
Aclimação,Apartamento,235.0,6.0,4.0,4.0,4.0,2240000
Parque da Mooca,Apartamento,135.0,3.0,2.0,3.0,2.0,556500
Pinheiros,Apartamento,150.0,3.0,1.0,3.0,1.0,742000
Cambuci,Apartamento,200.0,4.0,3.0,3.0,3.0,840000
Vila Antonieta,Casa de dois andares,144.0,0.0,0.0,3.0,4.0,455000
Cambuci,Apartamento,180.0,3.0,3.0,4.0,3.0,1330000
Vila Butantã,Casa de dois andares,90.0,1.0,0.0,2.0,2.0,336000
Jardim Paulista,Apartamento,222.0,5.0,3.0,3.0,2.0,2092999
Pinheiros,Apartamento,90.0,1.0,1.0,3.0,1.0,616000
Alto da Mooca,Apartamento,69.0,1.0,1.0,3.0,2.0,348600
Vila Antonieta,Apartamento,69.0,2.0,1.0,3.0,1.0,336000
Aclimação,Apartamento,68.0,0.0,1.0,3.0,2.0,446600
Aclimação,Apartamento,141.0,3.0,0.0,4.0,2.0,889000
Aclimação,Apartamento,141.0,5.0,3.0,3.0,2.0,944999
Vila Antonieta,Apartamento,65.0,2.0,0.0,3.0,1.0,224000
Cambuci,Casa de dois andares,120.0,0.0,0.0,2.0,1.0,381500
Jardim Paulista,Cobertura,345.0,6.0,4.0,4.0,6.0,5593000
Aclimação,Apartamento,111.0,4.0,2.0,3.0,2.0,784000
Aclimação,Apartamento,48.0,2.0,0.0,2.0,0.0,287000
Jardim Paulista,Apartamento,150.0,3.0,0.0,3.0,1.0,972999
Jardim Paulista,Apartamento,145.0,3.0,1.0,3.0,1.0,1330000
Vila Monumento,Casa de dois andares,83.0,3.0,2.0,3.0,2.0,461999
Vila Antonieta,Apartamento,50.0,1.0,0.0,2.0,1.0,230999
Cambuci,Apartamento,98.0,2.0,0.0,3.0,0.0,355180
Pinheiros,Apartamento,264.0,5.0,4.0,4.0,5.0,3709999
Jardim Paulista,Apartamento,113.0,1.0,1.0,2.0,1.0,889000
Jardim Paulista,Apartamento,178.0,4.0,3.0,3.0,3.0,1854999
Jardim Paulista,Apartamento,205.0,4.0,1.0,4.0,2.0,1330000
Jardim Paulista,Flat,32.0,1.0,1.0,1.0,1.0,276500
Jardim Paulista,Apartamento,207.0,4.0,1.0,3.0,2.0,1470000
Jardim Paulista,Apartamento,125.0,2.0,1.0,3.0,1.0,623000
Jardim Paulista,Apartamento,382.0,5.0,4.0,4.0,4.0,5740000
Jardim Paulista,Apartamento,115.0,3.0,1.0,3.0,2.0,1014999
Jardim Paulista,Apartamento,160.0,3.0,1.0,3.0,1.0,1116500
Jardins,Flat,37.0,1.0,1.0,1.0,1.0,280000
Bela Vista,Apartamento,300.0,1.0,1.0,3.0,2.0,1889999
Bela Vista,Apartamento,90.0,2.0,1.0,2.0,1.0,805000
Jardim Paulista,Flat,42.0,1.0,1.0,1.0,1.0,237999
Cerqueira César,Apartamento,132.0,3.0,1.0,3.0,1.0,1113000
Jardim Paulista,Flat,37.0,1.0,1.0,1.0,1.0,280000
Pinheiros,Apartamento,71.0,2.0,1.0,2.0,1.0,759542
Jardim Paulista,Apartamento,252.0,5.0,3.0,4.0,3.0,2240000
Jardim Paulista,Apartamento,176.0,4.0,1.0,3.0,2.0,1673000
Aclimação,Apartamento,86.0,1.0,1.0,2.0,1.0,350000
Jardim Paulista,Apartamento,467.0,6.0,4.0,4.0,4.0,5460000
Pinheiros,Apartamento,90.0,1.0,1.0,3.0,2.0,896000
Cerqueira César,Apartamento,74.0,2.0,0.0,2.0,0.0,521499
Aclimação,Apartamento,198.0,3.0,2.0,4.0,3.0,1400000
Bela Vista,Apartamento,172.0,3.0,1.0,4.0,1.0,910000
Cambuci,Apartamento,78.0,2.0,1.0,3.0,2.0,396415
Chácara Mafalda,Casa,400.0,2.0,0.0,2.0,3.0,840000
Bela Vista,Flat,60.0,1.0,1.0,1.0,1.0,630000
Cambuci,Casa de dois andares,200.0,4.0,3.0,3.0,5.0,840000
Liberdade,Apartamento,50.0,1.0,1.0,2.0,1.0,350000
Cambuci,Cobertura,113.0,2.0,1.0,2.0,2.0,515857
Bela Vista,Apartamento,126.0,2.0,1.0,3.0,1.0,910000
Aclimação,Apartamento,134.0,3.0,3.0,3.0,2.0,906500
Cambuci,Casa,85.0,1.0,0.0,2.0,2.0,258999
Cambuci,Apartamento,68.0,2.0,0.0,2.0,1.0,258999
Jardim América,Casa,560.0,3.0,1.0,5.0,20.0,10500000
Vila Bertioga,Apartamento,79.0,2.0,1.0,2.0,2.0,475999
Vila Bertioga,Apartamento,79.0,2.0,1.0,3.0,2.0,392000
Vila Antonieta,Apartamento,72.0,1.0,0.0,2.0,1.0,224000
Jardins,Flat,35.0,1.0,1.0,1.0,1.0,308000
Vila Bertioga,Apartamento,80.0,3.0,1.0,2.0,1.0,357000
Parque dos Príncipes,Casa de dois andares,473.0,6.0,4.0,4.0,4.0,910000
Jardins,Apartamento,270.0,4.0,4.0,4.0,4.0,4182499
Pinheiros,Apartamento,39.0,1.0,1.0,1.0,1.0,349300
Bela Vista,Apartamento,83.0,1.0,0.0,2.0,0.0,489999
Pinheiros,Apartamento,71.0,1.0,1.0,2.0,1.0,744450
Pinheiros,Apartamento,60.0,2.0,1.0,2.0,1.0,595000
Cerqueira César,Flat,29.0,1.0,0.0,1.0,1.0,234499
Cerqueira César,Apartamento,180.0,4.0,1.0,3.0,1.0,1889999
Mooca,Apartamento,146.0,2.0,1.0,3.0,2.0,482999
Jardim Paulista,Apartamento,176.0,6.0,4.0,4.0,3.0,1470000
Alto da Mooca,Apartamento,77.0,1.0,0.0,2.0,1.0,315000
Jardim Paulista,Casa de dois andares,140.0,3.0,1.0,3.0,2.0,420000
Liberdade,Apartamento,78.0,1.0,0.0,2.0,1.0,371000
Mooca,Apartamento,240.0,5.0,3.0,3.0,2.0,770000
Jardim Paulista,Apartamento,367.0,6.0,3.0,4.0,4.0,3360000
Vila Formosa,Casa de dois andares,368.0,6.0,3.0,3.0,12.0,1120000
Bela Vista,Apartamento,180.0,4.0,0.0,3.0,1.0,1260000
Jardins,Apartamento,345.0,5.0,2.0,4.0,2.0,2695000
Vila Formosa,Apartamento,75.0,2.0,1.0,3.0,1.0,244999
Jardim Paulista,Apartamento,100.0,1.0,2.0,2.0,2.0,840000
Jardim Paulista,Apartamento,62.0,1.0,0.0,1.0,1.0,525000
Jardim Paulista,Apartamento,576.0,5.0,2.0,4.0,3.0,4550000
Jardim Paulista,Flat,119.0,1.0,0.0,1.0,2.0,979999
Jardim Paulista,Apartamento,145.0,3.0,1.0,3.0,1.0,1190000
Cerqueira César,Apartamento,323.0,5.0,4.0,4.0,3.0,2664900
Parque da Mooca,Apartamento,289.0,1.0,4.0,4.0,4.0,951999
Bela Vista,Apartamento,45.0,1.0,0.0,1.0,1.0,322000
Jardim Paulista,Apartamento,175.0,1.0,1.0,3.0,1.0,1302000
Jardim Paulista,Flat,30.0,1.0,1.0,1.0,1.0,174300
Cerqueira César,Apartamento,158.0,2.0,2.0,2.0,2.0,1323000
Vila Invernada,Condomínio,192.0,4.0,1.0,3.0,4.0,560000
Mooca,Apartamento,124.0,4.0,3.0,3.0,4.0,742000
Aclimação,Apartamento,67.0,2.0,1.0,3.0,1.0,360500
Jardim Paulista,Flat,112.0,1.0,2.0,2.0,2.0,840000
Cerqueira César,Apartamento,177.0,4.0,2.0,4.0,1.0,1190000
Bela Vista,Apartamento,160.0,3.0,1.0,3.0,1.0,840000
Vila Formosa,Apartamento,84.0,2.0,1.0,3.0,2.0,332500
Mooca,Apartamento,156.0,4.0,2.0,3.0,3.0,525000
Jardim Paulista,Apartamento,118.0,3.0,1.0,1.0,1.0,686000
Cambuci,Apartamento,36.0,1.0,0.0,1.0,0.0,175000
Jardim Paulista,Apartamento,120.0,3.0,1.0,3.0,2.0,875000
Cerqueira César,Apartamento,159.0,3.0,2.0,4.0,2.0,1294300
Jardim Paulista,Apartamento,119.0,3.0,1.0,3.0,2.0,930999
Aclimação,Apartamento,65.0,2.0,1.0,3.0,1.0,420000
Jardim Paulista,Cobertura,470.0,5.0,2.0,4.0,2.0,3150000
Jardim Paulista,Apartamento,360.0,1.0,4.0,4.0,4.0,4200000
Jardim Paulista,Apartamento,286.0,5.0,3.0,3.0,2.0,3069500
Jardim Paulista,Apartamento,142.0,1.0,1.0,3.0,1.0,1014999
Jardim Paulista,Flat,35.0,1.0,0.0,1.0,1.0,525000
Pinheiros,Apartamento,157.0,3.0,1.0,3.0,1.0,979999
Vila Formosa,Casa de dois andares,100.0,1.0,1.0,3.0,4.0,416500
Jardim Paulista,Apartamento,62.0,1.0,0.0,1.0,1.0,525000
Jardim Paulista,Apartamento,96.0,2.0,0.0,2.0,1.0,595000
Cerqueira César,Apartamento,158.0,1.0,0.0,3.0,1.0,721000
Vila Invernada,Casa de dois andares,278.0,5.0,3.0,3.0,6.0,1050000
Vila Formosa,Casa de dois andares,80.0,1.0,2.0,2.0,2.0,234499
Pinheiros,Apartamento,45.0,1.0,1.0,1.0,1.0,392000
Mooca,Apartamento,60.0,0.0,0.0,2.0,1.0,280000
Vila Formosa,Casa de dois andares,80.0,2.0,1.0,2.0,2.0,266000
Mooca,Apartamento,200.0,5.0,3.0,3.0,3.0,630000
Vila Formosa,Condomínio,110.0,3.0,1.0,3.0,4.0,336000
Vila Bertioga,Apartamento,160.0,3.0,1.0,4.0,2.0,693000
Vila Antonieta,Apartamento,78.0,0.0,1.0,3.0,1.0,230999
Mooca,Apartamento,120.0,3.0,1.0,3.0,2.0,672000
Jardim Nossa Senhora do Carmo,Casa de dois andares,170.0,2.0,1.0,3.0,3.0,262500
Vila Butantã,Casa,128.0,2.0,1.0,2.0,2.0,420000
Jardim Paulista,Apartamento,182.0,2.0,1.0,3.0,3.0,1854999
Jardim Paulista,Apartamento,468.0,2.0,4.0,4.0,4.0,4122999
Vila Formosa,Apartamento,82.0,2.0,1.0,2.0,2.0,461999
Jardim Paulista,Apartamento,100.0,3.0,1.0,3.0,1.0,665000
Jardim Vila Formosa,Casa,112.0,1.0,1.0,3.0,2.0,297500
São Paulo,Apartamento,76.0,1.0,1.0,2.0,2.0,409500
Parque Savoy City,Condomínio,62.0,1.0,0.0,2.0,2.0,188300
Jardim Paulista,Apartamento,272.0,4.0,3.0,4.0,4.0,2226000
Jardim Paulista,Apartamento,161.0,3.0,1.0,3.0,1.0,937999
Jardim Aricanduva,Casa,180.0,2.0,1.0,4.0,2.0,413000
Jardim Paulista,Apartamento,156.0,5.0,3.0,3.0,2.0,1533000
Vila Butantã,Casa de dois andares,95.0,3.0,1.0,3.0,2.0,381500
Jardim Paulista,Apartamento,163.0,3.0,1.0,3.0,1.0,1050000
Pinheiros,Apartamento,97.0,3.0,1.0,3.0,2.0,864500
Jardim Paulista,Apartamento,123.0,2.0,1.0,3.0,1.0,698600
Jardim Paulista,Apartamento,223.0,5.0,2.0,3.0,2.0,1673000
Jardim Paulista,Apartamento,102.0,2.0,1.0,3.0,2.0,875000
Jardim Paulista,Apartamento,121.0,2.0,1.0,4.0,1.0,910000
Jardim Paulista,Apartamento,170.0,3.0,0.0,3.0,1.0,1335600
Vila Formosa,Apartamento,90.0,2.0,1.0,3.0,2.0,329000
Jardim Paulista,Apartamento,210.0,5.0,2.0,3.0,2.0,1505000
Vila Formosa,Apartamento,90.0,2.0,1.0,3.0,2.0,336000
Jardim Paulista,Apartamento,44.0,1.0,1.0,1.0,1.0,385000
Cidade São Francisco,Apartamento,20.0,4.0,3.0,3.0,4.0,1295000
Vila Formosa,Apartamento,61.0,2.0,1.0,3.0,1.0,251999
Jardim Paulista,Apartamento,70.0,1.0,0.0,2.0,1.0,665000
Rio Pequeno,Condomínio,243.0,2.0,1.0,3.0,2.0,525000
Butantã,Casa,730.0,5.0,2.0,4.0,4.0,2799300
Pinheiros,Casa de dois andares,80.0,2.0,0.0,3.0,0.0,545300
Pinheiros,Apartamento,76.0,2.0,1.0,1.0,2.0,875000
Cambuci,Apartamento,50.0,1.0,1.0,2.0,1.0,262500
Vila Formosa,Casa de dois andares,209.0,3.0,1.0,3.0,5.0,609000
Jardim Vila Formosa,Apartamento,135.0,3.0,0.0,3.0,2.0,406000
Pinheiros,Apartamento,211.0,0.0,3.0,3.0,3.0,2450000
Pinheiros,Cobertura,120.0,2.0,1.0,1.0,2.0,1187200
Cambuci,Casa de dois andares,300.0,2.0,3.0,4.0,2.0,665000
Vila Bertioga,Casa de dois andares,110.0,2.0,1.0,3.0,2.0,441000
Mooca,Apartamento,113.0,1.0,0.0,3.0,1.0,329000
Cambuci,Apartamento,46.0,1.0,0.0,1.0,1.0,261827
Butantã,Apartamento,89.0,3.0,1.0,3.0,1.0,314300
Pinheiros,Apartamento,60.0,2.0,1.0,1.0,2.0,745178
Mooca,Casa de dois andares,276.0,4.0,1.0,3.0,4.0,1820000
Jardim Vila Formosa,Apartamento,62.0,1.0,0.0,2.0,1.0,215600
Vila Bertioga,Casa de dois andares,157.0,3.0,3.0,3.0,4.0,591500
Pinheiros,Apartamento,128.0,3.0,1.0,3.0,1.0,836500
Jardim Vila Formosa,Apartamento,68.0,2.0,0.0,3.0,1.0,260399
Alto da Mooca,Apartamento,123.0,3.0,1.0,4.0,2.0,560000
Cambuci,Casa de dois andares,250.0,3.0,1.0,3.0,2.0,1260000
Rio Pequeno,Apartamento,69.0,2.0,1.0,3.0,1.0,290500
Alto da Mooca,Apartamento,66.0,1.0,0.0,2.0,1.0,251999
Pinheiros,Apartamento,84.0,2.0,1.0,2.0,2.0,1085000
Pinheiros,Apartamento,85.0,2.0,1.0,2.0,1.0,681730
Pinheiros,Apartamento,84.0,2.0,1.0,2.0,1.0,882000
Rio Pequeno,Condomínio,125.0,2.0,1.0,3.0,2.0,524300
Rio Pequeno,Apartamento,64.0,2.0,1.0,2.0,1.0,317100
Rio Pequeno,Apartamento,73.0,2.0,1.0,3.0,1.0,350000
Rio Pequeno,Apartamento,69.0,0.0,1.0,3.0,1.0,287000
Consolação,Apartamento,120.0,2.0,0.0,2.0,1.0,910000
Pinheiros,Casa de dois andares,383.0,6.0,3.0,5.0,4.0,2940000
Bela Vista,Cobertura,130.0,6.0,1.0,3.0,2.0,1050000
Cambuci,Apartamento,48.0,1.0,0.0,2.0,1.0,267520
Vila Antônio,Apartamento,60.0,1.0,0.0,2.0,0.0,256899
Jardim Paulista,Apartamento,150.0,3.0,2.0,2.0,3.0,1120000
Bela Vista,Apartamento,147.0,1.0,1.0,3.0,1.0,826000
Pinheiros,Apartamento,70.0,2.0,1.0,1.0,1.0,770000
Pinheiros,Apartamento,128.0,1.0,1.0,3.0,1.0,770000
Aclimação,Apartamento,68.0,1.0,0.0,1.0,1.0,222600
Cambuci,Apartamento,50.0,2.0,1.0,2.0,1.0,298130
Cerqueira César,Apartamento,440.0,6.0,3.0,3.0,8.0,6160000
Cerqueira César,Cobertura,275.0,2.0,1.0,3.0,3.0,2590000
Jardim Paulista,Apartamento,100.0,2.0,1.0,2.0,1.0,630000
Água Rasa,Apartamento,110.0,3.0,1.0,3.0,2.0,595000
Cerqueira César,Apartamento,58.0,1.0,1.0,1.0,1.0,588000
Cerqueira César,Apartamento,71.0,1.0,1.0,1.0,1.0,1042999
Cerqueira César,Apartamento,400.0,5.0,4.0,4.0,2.0,3010000
Cerqueira César,Apartamento,232.0,6.0,4.0,4.0,4.0,3220000
Cerqueira César,Apartamento,158.0,3.0,1.0,3.0,1.0,1085000
Bela Vista,Apartamento,63.0,2.0,1.0,3.0,1.0,523949
Jardim Paulista,Apartamento,79.0,2.0,2.0,3.0,2.0,651000
Pinheiros,Cobertura,275.0,5.0,3.0,3.0,3.0,1820000
Vila Formosa,Apartamento,78.0,2.0,1.0,2.0,2.0,441000
Cidade São Francisco,Apartamento,86.0,3.0,1.0,2.0,2.0,525000
Bela Vista,Cobertura,130.0,2.0,1.0,3.0,3.0,1050000
Cambuci,Apartamento,70.0,1.0,0.0,2.0,0.0,279300
Pinheiros,Apartamento,90.0,3.0,1.0,3.0,2.0,906500
Rio Pequeno,Apartamento,87.0,3.0,2.0,2.0,2.0,510999
Bela Vista,Apartamento,74.0,2.0,0.0,2.0,1.0,455000
Pinheiros,Apartamento,180.0,3.0,1.0,3.0,1.0,1120000
Rio Pequeno,Apartamento,87.0,3.0,2.0,2.0,2.0,503999
Jardins,Apartamento,134.0,3.0,2.0,2.0,2.0,1456000
